127.0.0.1, 2018-07-05 19:06:30, GET, /MAT3D/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:06:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-05 19:47:10, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-07-05 19:47:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.227000
127.0.0.1, 2018-07-05 19:47:12, GET, /admin/default/index, HTTP/1.1, 200, 0.189000
127.0.0.1, 2018-07-05 19:47:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:47:13, POST, /admin/default/index, HTTP/1.1, 303, 0.022000
127.0.0.1, 2018-07-05 19:47:14, GET, /admin/default/site, HTTP/1.1, 200, 0.118000
127.0.0.1, 2018-07-05 19:47:14, POST, /admin/default/check_version, HTTP/1.1, 200, 0.258000
127.0.0.1, 2018-07-05 19:47:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/default/index, HTTP/1.1, 200, 0.225000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-05 19:47:15, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.003000
